id,text,category,ground_truth_concepts
67,"Lipid panel analysis is a standard blood test that measures levels of various fats in the blood. It includes total cholesterol, LDL (low-density lipoprotein) cholesterol often called bad cholesterol, HDL (high-density lipoprotein) cholesterol known as good cholesterol, and triglycerides. Abnormal lipid levels are a major risk factor for cardiovascular disease. The test typically requires fasting for 9-12 hours before blood collection.",diagnostics,"LipidPanel,Hyperlipidemia,CardiovascularDisease,BloodTest,DiagnosticTest"
68,"Electrocardiographic monitoring encompasses standard 12-lead ECG, continuous telemetry monitoring, Holter monitoring, and event recorders. These tools are essential for detecting and characterizing cardiac arrhythmias, evaluating chest pain, assessing pacemaker function, and monitoring drug effects on cardiac conduction. Interpretation requires systematic analysis of rate, rhythm, axis, intervals, and waveform morphology.",diagnostics,"ECG,Arrhythmia,ChestPain,DiagnosticTest"
69,"ACE inhibitors (angiotensin-converting enzyme inhibitors) are a class of antihypertensive medications that block the conversion of angiotensin I to angiotensin II. They are first-line treatments for hypertension, heart failure, and diabetic nephropathy. Common examples include lisinopril, enalapril, and ramipril. They reduce blood pressure, decrease cardiac workload, and provide renal protection. Side effects include dry cough and rarely angioedema. They are contraindicated in pregnancy.",treatments,"ACEInhibitor,Antihypertensive,Hypertension,HeartFailure,Medication"
70,"Beta-blockers are a class of medications that reduce heart rate and blood pressure by blocking the effects of adrenaline on beta-adrenergic receptors. They are used in treating hypertension, angina pectoris, arrhythmias, heart failure, and migraine prevention. Common beta-blockers include metoprolol, atenolol, propranolol, and carvedilol. Side effects include fatigue, bradycardia, cold extremities, and bronchospasm. They should be used cautiously in patients with asthma.",treatments,"BetaBlocker,Hypertension,Arrhythmia,HeartFailure,Migraine,Medication"
71,"Anticoagulant therapy prevents blood clot formation and is essential in managing conditions such as atrial fibrillation, deep vein thrombosis, pulmonary embolism, and mechanical heart valves. Traditional anticoagulants include warfarin, which requires regular INR monitoring, and heparin for acute anticoagulation. Direct oral anticoagulants (DOACs) including rivaroxaban, apixaban, and dabigatran offer more predictable pharmacokinetics without routine monitoring requirements.",treatments,"Anticoagulant,Arrhythmia,MyocardialInfarction,Medication"
72,"Surgical interventions for cardiovascular disease include percutaneous coronary intervention (angioplasty with stent placement) and coronary artery bypass grafting (CABG). Angioplasty involves threading a catheter with a balloon to the blocked coronary artery and inflating it to restore blood flow, often with drug-eluting stent placement. Bypass surgery uses arterial or venous grafts to create new pathways for blood flow around blocked coronary arteries.",treatments,"Angioplasty,BypassSurgery,CoronaryArteryDisease,MyocardialInfarction,Procedure"
73,"Chemotherapy is a systemic cancer treatment using cytotoxic drugs to destroy rapidly dividing cancer cells. It can be used as primary treatment, adjuvant therapy after surgery, or neoadjuvant therapy before surgery. Common side effects include nausea, fatigue, hair loss, myelosuppression, and immunosuppression. Treatment protocols typically involve multiple cycles with rest periods. Targeted therapies and immunotherapies are increasingly complementing or replacing traditional chemotherapy.",treatments,"Chemotherapy,LungCancer,Nausea,Fatigue,Procedure"
74,"Dialysis is a life-sustaining treatment that performs the functions of the kidneys when they can no longer work adequately. Hemodialysis filters blood through an external machine typically three times per week. Peritoneal dialysis uses the peritoneal membrane as a filter and can be performed at home. Dialysis is required when kidney function falls below 10-15% of normal capacity. Kidney transplantation remains the preferred treatment for eligible patients.",treatments,"Dialysis,Procedure"
75,"Occupational therapy helps individuals develop, recover, or maintain the skills needed for daily living and working. In neurological conditions like Alzheimer's disease, occupational therapists help patients maintain independence through cognitive exercises, environmental modifications, and adaptive equipment. For stroke rehabilitation, occupational therapy focuses on upper limb function, self-care activities, and community reintegration. Evidence supports occupational therapy's role in improving quality of life across multiple conditions.",treatments,"OccupationalTherapy,Alzheimers,Stroke,Therapy"
76,"Physical therapy uses exercise, manual therapy, and physical modalities to restore movement and function. In Parkinson's disease, physical therapy programs focus on gait training, balance exercises, and LSVT BIG (amplitude-based training) to counteract bradykinesia. For musculoskeletal conditions, physical therapy addresses pain, mobility, and strength. Post-surgical rehabilitation is essential for optimal recovery after joint replacement, spinal surgery, and cardiac procedures.",treatments,"PhysicalTherapy,Parkinsons,JointPain,Therapy"
77,"Combination pharmacotherapy is frequently necessary for managing complex cardiovascular conditions. A patient with coronary artery disease and hypertension might receive a statin for cholesterol management, an ACE inhibitor for blood pressure control, a beta-blocker for heart rate management, and low-dose aspirin or anticoagulant for thrombosis prevention. Medication reconciliation and monitoring for drug interactions are essential aspects of polypharmacy management.",treatments,"Statin,ACEInhibitor,BetaBlocker,Anticoagulant,CoronaryArteryDisease,Hypertension"
78,"Antibiotic therapy is the cornerstone treatment for bacterial infections. Selection of appropriate antibiotics depends on the suspected or confirmed pathogen, infection site, patient allergies, and local resistance patterns. Broad-spectrum antibiotics are used empirically until culture results are available, then therapy is narrowed (de-escalation). Common antibiotic classes include penicillins, cephalosporins, macrolides, fluoroquinolones, and aminoglycosides. Completing the full prescribed course is essential to prevent resistance.",treatments,"Antibiotic,Pneumonia,Tuberculosis,Bronchitis,Medication"
79,"Cardiovascular disease prevention encompasses both primary prevention for individuals without established disease and secondary prevention for those with existing conditions. Key modifiable risk factors include hypertension, hyperlipidemia, diabetes, obesity, smoking, physical inactivity, and unhealthy diet. Evidence-based preventive strategies include regular blood pressure monitoring, lipid panel testing, glucose screening, smoking cessation counseling, and appropriate pharmacotherapy with antihypertensives and statins.",cardiovascular,"CardiovascularDisease,Hypertension,Hyperlipidemia,Obesity,Antihypertensive,Statin"
80,"Congestive heart failure management requires a comprehensive multimodal approach. Pharmacological therapy includes ACE inhibitors or angiotensin receptor blockers, beta-blockers, mineralocorticoid receptor antagonists, and diuretics. Non-pharmacological management includes sodium and fluid restriction, daily weight monitoring, cardiac rehabilitation, and regular follow-up. Advanced therapies for refractory heart failure include cardiac resynchronization therapy, left ventricular assist devices, and heart transplantation.",cardiovascular,"HeartFailure,ACEInhibitor,BetaBlocker,CardiovascularDisease"
81,"Diabetic complications represent a significant burden of type 2 diabetes mellitus. Microvascular complications include diabetic retinopathy, nephropathy, and neuropathy. Macrovascular complications include coronary artery disease, cerebrovascular disease, and peripheral arterial disease. Comprehensive diabetes management targeting glycemic control, blood pressure, and lipid levels significantly reduces the risk of these complications. Regular screening through eye examinations, kidney function tests, and foot assessments is essential.",metabolic,"Type2Diabetes,CoronaryArteryDisease,Stroke,Hypertension,BloodGlucoseTest"
82,"Obesity-related metabolic changes create a cascade of health consequences. Excess adipose tissue leads to insulin resistance, chronic low-grade inflammation, and altered lipid metabolism. These changes contribute to the development of type 2 diabetes, hypertension, hyperlipidemia, non-alcoholic fatty liver disease, and cardiovascular disease. Bariatric surgery has shown remarkable efficacy in achieving sustained weight loss and resolving metabolic comorbidities including diabetes remission.",metabolic,"Obesity,Type2Diabetes,Hypertension,Hyperlipidemia,MetabolicSyndrome"
83,"Acute respiratory distress syndrome (ARDS) is a severe form of respiratory failure characterized by diffuse pulmonary infiltrates and refractory hypoxemia. It can result from direct lung injury (pneumonia, aspiration) or indirect causes (sepsis, pancreatitis). COVID-19 has become a significant cause of ARDS. Management involves mechanical ventilation with lung-protective strategies, prone positioning, neuromuscular blockade, and treatment of the underlying cause.",respiratory,"Pneumonia,COVID19,Dyspnea,RespiratoryDisease"
84,"Chronic disease management requires patient-centered approaches incorporating self-management support, regular monitoring, and coordinated multidisciplinary care. For conditions like diabetes, hypertension, and heart failure, patient education about disease process, medication adherence, lifestyle modifications, and recognizing warning signs is essential. Telemedicine and remote monitoring technologies are increasingly enabling more effective chronic disease management.",treatments,"Type2Diabetes,Hypertension,HeartFailure"
85,"The relationship between mental and physical health is bidirectional. Depression and anxiety are common comorbidities of cardiovascular disease, diabetes, and chronic pain conditions. Conversely, chronic medical conditions increase the risk of developing mental health disorders. Integrated care models that address both physical and mental health simultaneously have shown superior outcomes compared to traditional siloed approaches.",mental_health,"Depression,AnxietyDisorder,CardiovascularDisease,Type2Diabetes"
86,"Cardiac rehabilitation is a comprehensive program for patients recovering from myocardial infarction, heart failure, or cardiac surgery. It includes supervised exercise training, cardiovascular risk factor modification, psychosocial counseling, and patient education. Participation in cardiac rehabilitation reduces mortality by 20-25% and significantly improves functional capacity and quality of life. Despite strong evidence, cardiac rehabilitation remains underutilized, particularly among women and minority populations.",cardiovascular,"MyocardialInfarction,HeartFailure,BypassSurgery,CardiovascularDisease"
87,"Sleep disorders represent a significant but often underrecognized health concern. Obstructive sleep apnea is strongly associated with hypertension, arrhythmias, and cardiovascular disease. Insomnia complicates depression and anxiety disorders. Restless legs syndrome causes sleep disruption and daytime fatigue. Proper diagnosis through sleep studies and appropriate treatment including CPAP therapy, CBT for insomnia, and pharmacological interventions can significantly improve health outcomes.",mental_health,"Insomnia,Hypertension,Arrhythmia,Depression,CognitiveBehavioralTherapy"
88,"Geriatric medicine addresses the complex healthcare needs of elderly patients. Older adults frequently have multiple comorbidities including hypertension, diabetes, heart failure, cognitive impairment, and depression. Polypharmacy is common and increases the risk of adverse drug interactions and falls. Comprehensive geriatric assessment evaluates medical, functional, cognitive, and psychosocial domains to develop individualized care plans that prioritize patient goals and quality of life.",treatments,"Hypertension,Type2Diabetes,HeartFailure,Alzheimers,Depression"
89,"Precision medicine aims to tailor medical treatment to the individual characteristics of each patient. In cardiovascular medicine, genetic testing can identify patients who metabolize certain medications differently, enabling personalized drug selection. In oncology, molecular profiling of tumors guides targeted therapy selection. Pharmacogenomics is increasingly informing prescribing decisions for antidepressants, anticoagulants, and statins to optimize efficacy and minimize adverse effects.",treatments,"Statin,Anticoagulant,Antidepressant,Chemotherapy"
90,"Emergency management of acute coronary syndrome requires rapid recognition and intervention. Initial assessment includes ECG, cardiac biomarker testing, and risk stratification. Acute myocardial infarction requires emergent reperfusion therapy through primary percutaneous coronary intervention (angioplasty) or fibrinolytic therapy. Time-to-treatment is critical with a door-to-balloon time target of less than 90 minutes. Post-event management includes dual antiplatelet therapy, statins, ACE inhibitors, and beta-blockers.",cardiovascular,"MyocardialInfarction,ECG,Angioplasty,Statin,ACEInhibitor,BetaBlocker"
91,"Chronic kidney disease is a progressive condition frequently complicating diabetes and hypertension. As kidney function declines, metabolic waste products accumulate, electrolyte imbalances develop, and anemia worsens. Management includes blood pressure control with ACE inhibitors, glycemic management, dietary modifications, and addressing cardiovascular risk factors. When kidney function falls below critical thresholds, renal replacement therapy through dialysis or kidney transplantation becomes necessary.",metabolic,"Hypertension,Type2Diabetes,ACEInhibitor,Dialysis,BloodTest"
92,"Immunotherapy represents a paradigm shift in cancer treatment by harnessing the patient's own immune system to fight cancer. Immune checkpoint inhibitors block proteins that prevent T cells from attacking cancer cells. CAR-T cell therapy involves engineering patient's T cells to target specific cancer antigens. Immunotherapy has shown remarkable success in melanoma, lung cancer, and certain blood cancers, though immune-related adverse events require careful monitoring.",treatments,"LungCancer,Chemotherapy"
93,"Smoking cessation is the single most impactful intervention for reducing cardiovascular and respiratory disease risk. Smoking doubles the risk of coronary artery disease and is the primary cause of COPD and lung cancer. Evidence-based cessation strategies include nicotine replacement therapy, bupropion, varenicline, behavioral counseling, and combination approaches. Within one year of quitting, coronary artery disease risk drops by 50 percent.",respiratory,"CoronaryArteryDisease,COPD,LungCancer,CardiovascularDisease"
94,"Sepsis is a life-threatening organ dysfunction caused by a dysregulated host response to infection. It can progress to septic shock with cardiovascular collapse. Early recognition, prompt antibiotic administration, and aggressive fluid resuscitation are critical. The Surviving Sepsis Campaign guidelines emphasize the importance of the first hour of management. Complications include acute kidney injury, respiratory failure, and disseminated intravascular coagulation.",infectious,"Antibiotic,Fever,InfectiousDisease"
95,"Palliative care focuses on improving quality of life for patients with serious illness through pain management, symptom relief, and psychosocial support. It is appropriate at any stage of disease and can be provided alongside curative treatments. Common conditions requiring palliative care include advanced cancer, heart failure, COPD, and neurological diseases. Early integration of palliative care has demonstrated improved quality of life and in some cases extended survival.",treatments,"HeartFailure,COPD,LungCancer,NeurologicalDisease"
96,"Thyroid disorders are among the most common endocrine conditions. Hypothyroidism causes fatigue, weight gain, cold intolerance, and depression, while hyperthyroidism causes weight loss, heat intolerance, anxiety, and palpitations. Diagnosis is through thyroid function blood tests measuring TSH and free T4. Treatment for hypothyroidism involves levothyroxine replacement, while hyperthyroidism may be treated with antithyroid drugs, radioactive iodine, or surgery.",metabolic,"Fatigue,Depression,WeightLoss,Palpitations,BloodTest"
97,"Autoimmune diseases occur when the immune system mistakenly attacks the body's own tissues. Common autoimmune conditions include type 1 diabetes, multiple sclerosis, rheumatoid arthritis, and systemic lupus erythematosus. These conditions share common pathogenic mechanisms including loss of self-tolerance and chronic inflammation. Treatment often involves immunosuppressive medications, disease-modifying agents, and management of organ-specific complications.",metabolic,"Type1Diabetes,MultipleSclerosis,JointPain,BloodTest"
98,"Exercise as medicine is increasingly recognized for its therapeutic benefits across multiple disease states. Regular physical activity reduces the risk of cardiovascular disease, type 2 diabetes, depression, and certain cancers. For patients with existing conditions, structured exercise programs improve outcomes in heart failure, COPD, diabetes, depression, and Parkinson's disease. Current guidelines recommend at least 150 minutes of moderate-intensity aerobic exercise per week.",treatments,"CardiovascularDisease,Type2Diabetes,Depression,HeartFailure,COPD,Parkinsons"
99,"Telemedicine and digital health technologies are transforming healthcare delivery. Remote patient monitoring enables continuous tracking of vital signs, blood glucose, and cardiac rhythm. Telehealth visits provide access to specialist consultations in underserved areas. Mobile health applications support medication adherence, symptom tracking, and self-management of chronic conditions. The COVID-19 pandemic accelerated the adoption of telemedicine across all medical specialties.",treatments,"COVID19,Type2Diabetes,Hypertension,ECG"
100,"Genomic medicine is advancing our understanding of disease susceptibility and treatment response. Genome-wide association studies have identified genetic risk factors for conditions including coronary artery disease, type 2 diabetes, and Alzheimer's disease. Pharmacogenomic testing guides drug selection and dosing for medications including warfarin, clopidogrel, and certain antidepressants. Gene therapy holds promise for treating genetic disorders and certain cancers.",treatments,"CoronaryArteryDisease,Type2Diabetes,Alzheimers,Antidepressant"
101,"Interventional radiology uses image-guided minimally invasive techniques to diagnose and treat conditions. CT-guided biopsies enable tissue sampling from deep organs. Angiography and embolization control bleeding and treat vascular malformations. Percutaneous drainage treats abscesses and fluid collections. These techniques often replace traditional surgical approaches offering reduced recovery times and complications.",diagnostics,"CTScan,Angioplasty,DiagnosticTest"
102,"Nutritional assessment and management are integral to treating metabolic diseases. Medical nutrition therapy is a cornerstone of diabetes management involving carbohydrate counting, glycemic index awareness, and meal planning. For obesity, caloric restriction combined with balanced macronutrient intake supports sustainable weight loss. Dietary approaches to managing hyperlipidemia include reducing saturated fat intake and increasing soluble fiber consumption.",metabolic,"Type2Diabetes,Obesity,Hyperlipidemia,MetabolicDisease"
103,"Pediatric infectious diseases present unique challenges including different pathogen susceptibility, vaccine schedules, and age-appropriate antibiotic dosing. Common childhood infections include respiratory syncytial virus (RSV), rotavirus gastroenteritis, and streptococcal pharyngitis. Childhood vaccination programs have dramatically reduced mortality from measles, polio, pertussis, and Haemophilus influenzae type b meningitis. Appropriate antibiotic stewardship in pediatrics is crucial for combating resistance.",infectious,"Antibiotic,Antiviral,Fever,InfectiousDisease"
104,"Stroke rehabilitation is a critical phase of stroke recovery focusing on maximizing functional independence. Physical therapy addresses mobility, strength, and balance deficits. Occupational therapy focuses on upper extremity function and activities of daily living. Speech therapy addresses aphasia, dysarthria, and swallowing disorders. The intensity and duration of rehabilitation correlate with better outcomes. Neuroplasticity-based approaches are increasingly incorporated into rehabilitation protocols.",neurological,"Stroke,PhysicalTherapy,OccupationalTherapy,NeurologicalDisease"
105,"Chronic pain management requires a multimodal approach addressing biological, psychological, and social factors. Pharmacological options include non-opioid analgesics, anticonvulsants for neuropathic pain, and antidepressants for pain modulation. Non-pharmacological approaches include physical therapy, cognitive behavioral therapy, acupuncture, and interventional pain procedures. The opioid crisis has highlighted the importance of responsible prescribing and alternative pain management strategies.",treatments,"Anticonvulsant,Antidepressant,PhysicalTherapy,CognitiveBehavioralTherapy,JointPain"
